region,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,all,all,all,all,all,all,all,all,all,all
feature,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity
29,0.9386335718000001,0.0026840902,0.8489055522,0.188144637,0.0110620182,0.8626058384999999,0.7754058987000001,0.0005199916999999999,0.844328073,0.0364494644,0.042378810700000005,0.0052205031,0.0745465071,0.1612780094,0.025659252400000002,0.09033888039999999,0.7926962372,0.0014898348,0.1092208619,0.0460257534,0.0189876175,0.0119645635,0.0765479407,0.2769002174,0.029830185699999998,0.047055281100000006,0.6903707693000001,0.0014141858,0.046451065,0.0327290133,1,0.0029677945000000003,1,0.1904524887,0.012036994399999999,1,0.7724509115000001,0.0005780711,1,0.0370965997
30,0.7306199570999999,0.0214709526,0.6532887826,0.3312587281,0.0374272234,0.7412739206,0.5774356953,0.0059180861999999996,0.49121336520000003,0.09130557660000001,0.24816317870000001,0.024705272799999997,0.25532265649999997,0.3227319427,0.0351642391,0.23655827699999998,0.4593603683,0.0166809299,0.4702783194,0.217907689,0.021216864300000002,0.10343041859999999,0.0913885608,0.6548326753,0.0385426757,0.0221678023,0.24401915629999998,0.015976291,0.0385083153,0.1011481684,1,0.0240125146,1,0.3444914175,0.0368893004,1,0.5292260140999999,0.0088024313,1,0.1262825684
31,0.9371763639,0.0280149832,0.8594503025,0.6985898004000001,0.011381767099999999,0.6461742967,0.2838190682,0.000705443,0.7940905426,0.017591131399999998,0.0474875242,0.025666607200000004,0.0398985458,0.1810826946,0.1138436657,0.3274967959,0.8031882683,0.002229429,0.1271627693,0.0157290371,0.0153361118,0.20049078039999998,0.10065115179999999,0.8600854178,0.0283399392,0.026328907400000004,0.1215755078,0.0042749421,0.0787466882,0.0183390744,1,0.030548572799999996,1,0.6379086839,0.0165075014,1,0.34470607200000003,0.0008325555000000001,1,0.0173852441
32,0.8668150856,0.08565747039999999,0.8598194279000001,0.625428819,0.0236506418,0.8429072891,0.17268538170000003,0.0276498721,0.6873305368000001,0.2018857993,0.1079415133,0.0829534004,0.10369032689999999,0.4489484167,0.0248346619,0.1102191789,0.1344065713,0.0769846138,0.2383079271,0.4166450121,0.0252434011,0.1248283892,0.0364902452,0.45773331759999997,0.045161607699999995,0.046873532,0.1656031346,0.10271986359999999,0.0743615361,0.3766635478,1,0.08635439619999999,1,0.5933133727000001,0.0243214567,1,0.1671049317,0.0348701607,1,0.23958169559999998
33,0.7570425418000001,0.023773652000000003,0.7681183853,0.5136011254,0.0207739814,0.812362244,0.44879685329999996,0.0017405284,0.6322432715,0.0376020212,0.1835201293,0.0196944126,0.1542548091,0.5309473528,0.0145112429,0.1375618554,0.3912127842,0.0028873115,0.2542495238,0.077839863,0.059437328899999996,0.0306013409,0.0776268056,0.6013050271,0.0163102184,0.050075900599999994,0.32048975760000004,0.003979984099999999,0.1135072047,0.0782052153,1,0.023430849,1,0.5221443923,0.0193593286,1,0.431412659,0.0020840935,1,0.0464429487
34,0.7557127959000001,0.0095671386,0.4968366314,0.1046309883,0.0403991889,0.8447368406,0.4418256336,0.0414706237,0.30550088010000004,0.4535433781,0.2261284151,0.020771140100000002,0.3227678297,0.0586353369,0.0204297845,0.12782356890000002,0.057671716399999996,0.31304177559999996,0.6900372883,0.8836929467,0.018158788999999998,0.1445653268,0.1803955389,0.6442733299,0.0546133391,0.0274395905,0.24339112699999998,0.025206420499999996,0.0044618317,0.1123355431,1,0.0145520853,1,0.09493856029999999,0.036141650899999996,1,0.23579000760000002,0.1025852396,1,0.669271432
35,0.8164643666,0.039985377,0.6187626775,0.621905598,0.0184569039,0.7402526986,0.2870662405,0.0058526493,0.5621892162,0.09102816150000001,0.1047311383,0.068040581,0.135060862,0.6448122983,0.0204629232,0.10527552400000001,0.19392463079999997,0.0170164761,0.2096709322,0.1612630709,0.0788044951,0.1648199783,0.24617646059999998,0.7187000049,0.039903798500000004,0.1544717774,0.17400111629999998,0.024606927400000003,0.2281398516,0.10729887880000001,1,0.0527611581,1,0.6464399270000001,0.0203571083,1,0.2494192328,0.008499771,1,0.1041408402
36,0.6414978889999999,0.0131802296,0.4234145653,0.4106720621,0.0173392829,0.4973441174,0.5402606214,0.0015747808999999999,0.3337686605,0.0490673166,0.3332091876,0.0206441717,0.344478415,0.37848654439999996,0.031046116000000002,0.4625459312,0.5691939276,0.0028537166,0.3141651448,0.052319528,0.025292923399999997,0.1832490203,0.2321070197,0.702517466,0.0354668392,0.0401099515,0.1359683886,0.0421303531,0.3520661947,0.1615141454,1,0.0199688206,1,0.440224412,0.0223650245,1,0.49305013840000006,0.003026703,1,0.0667254496
37,0.8084085593000001,0.0174388168,0.7518754606,0.3938879557,0.0246479711,0.805073328,0.5567200471,0.0021867589000000003,0.7527088863,0.049391997199999996,0.1723055741,0.011054525,0.10158682880000001,0.3115263462,0.0226355945,0.157584897,0.6378911856,0.0017949209,0.1316860846,0.0505824682,0.019285866699999998,0.14246633460000002,0.1465377105,0.6967723848999999,0.0479217246,0.037341775099999995,0.2343749097,0.0140780444,0.1156050291,0.0688527054,1,0.0187500318,1,0.4089545769,0.0247500819,1,0.5398209114,0.0023485768,1,0.051224511699999996
38,0.7967589435,0.0055175527,0.6778373215000001,0.1505933023,0.0280290765,0.8741893895999999,0.7650114893000001,0.0030921361999999997,0.5523052608,0.0843952084,0.1849179216,0.003999892,0.11404580480000001,0.1757291446,0.0134691995,0.0974968499,0.5917486988,0.005292596899999999,0.2194024291,0.2325221566,0.018323134799999998,0.0736640299,0.2081168736,0.4366131773,0.039475531200000004,0.028313760499999997,0.23397494170000002,0.0555773575,0.2282923101,0.329411881,1,0.0064855671,1,0.1777221638,0.025546429199999998,1,0.7000415848999999,0.0044607346,1,0.12223625130000002
